Year,BMW,TESLA,MERCEDES,NISSAN,VOLKSWAGEN,MITSUBISHI,KIA,AUDI,VOLVO,HYUNDAI
2010,0,47,0,7,0,26,0,0,0,0
2011,0,19,0,640,0,124,0,0,0,0
2012,0,8,0,700,0,107,0,0,0,0
2013,178,0,6,1829,30,0,0,0,75,0
2014,1698,717,14,4484,145,5362,20,66,163,0
2015,3075,1470,1035,5976,1503,11780,129,1198,152,5
2016,7290,2497,5832,5544,2130,9449,395,636,1884,69
2017,13117,4755,4493,6595,3953,7502,730,933,2234,565
2018,17090,3366,2538,6077,5955,8703,1841,723,2262,1652
2019,15762,13164,1874,7156,4111,6195,1946,1516,2975,2230
2020,19305,24779,16104,10725,10245,3734,10129,9804,7898,7890
2021,30066,34854,27168,11136,21056,2113,18426,21782,15655,14369
2022,25216,32235,20235,6401,14279,0,17530,12960,10470,14363
